Text - Model: Twitter Messages,Label,Score,,
this was the first Borderlands session in a long time where i actually had a really satisfying fighting experience. i got some really good kills,positive,0.978987515,,
that was the first borderlands session in a long time where i actually had a really satisfying combat experience. i got some really good kills,positive,0.9773101211,,
that was the first borderlands session in a long time where i actually enjoyed a really satisfying combat experience. i got some rather good kills,positive,0.9820179939,,
that I was the first real borderlands session in a nice long wait time where i actually had a really satisfying combat experience. and i got some really good kills,positive,0.9717589617,,
that was the first borderlands session in a hot row where i actually had a really bad combat experience. i did some really good kills,positive,0.7575310469,,
the biggest dissappoinment in my life came out a year ago fuck borderlands 3,negative,0.9312821627,,
The biggest disappointment of my life came a year ago.,negative,0.9368309975,,
The biggest disappointment of my life came a year ago.,negative,0.9368309975,,
the biggest dissappoinment in my life coming out a year ago fuck borderlands 3,negative,0.9397763014,,
For the biggest male dissappoinment in my life came hanging out a year time ago fuck borderlands 3,negative,0.9071784019,,
the biggest dissappoinment in my life came back last year ago fuck borderlands last,negative,0.9471012354,,
WE FINISHED BORDERLANDS 3 FINALLY YAS! Thank you for hanging out everyone! It was fun. I will try to stream tomorrow but if not I might so some IRL streams while awayu. We shall see. Thank you so much for the raids @mompou_mumpow @MegaMagwitch and @KfdMitch.,positive,0.9853265285,,
"WE FINALLY FINALLY FIND BORDERLANDS 3 YES! Thank you all for hanging out! It was fun. I'll try to stream tomorrow, but if not, maybe some IRL streams. We'll see. Thanks for the raids @ mompou _ mumpow @ MegaMagwitch and @ KfdMitch.",positive,0.9837885499,,
"Thank you for hanging up everyone! It was fun. I'll try to get a haircut tomorrow, but if it wasn't for me, some IRL streams would still be in Hawaii. We'll see. Thank you so much for the @ mompou _ mumpow @ MegaMagwife and @ fendMitch raids.",positive,0.8914135695,,
WE FINISHED BORDERLANDS 3 UPDATE YAS! Thank you for hanging out guys! It was fun. I will try to stream and even if not I might so some IRL streams while awayu. We shall go. Thank you so much for the raids @mompou_mumpow @MegaMagwitch and Hope.,positive,0.9843873978,,
WE FINISHED BORDERLANDS 3 AND FINALLY YAS! Thank you everyone for hanging out everyone! It was fun. I will try to make stream tomorrow but if not I might make so some IRL streams while awayu. 10 We never shall see. Thank you both so... much for the raids @mompou_mumpow or @MegaMagwitch and 4 @KfdMitch.,positive,0.9824172854,,
WE FINISHED BORDERLANDS 3 FINALLY YAS! Hey you for hanging out so! It was fun. I will try that stream tomorrow and if not I might use some IRL streams from awayu. We shall see. Thank you so much how many raids @mompou_mumpow did and their.,positive,0.9823353887,,
Man Gearbox really needs to fix this dissapointing drops in the new Borderlands 3 DLC cant be fine to farm bosses on Mayhem 10 to get 1 legendary drop while anywhere else i get 6-10 drops. . Really sucks alot,negative,0.8403705955,,
"Man Gearbox really needs to fix these disappointing drops in the new Borderlands 3 DLC for farm bosses on Mayhem 10 to get a legendary drop, while I get 6-10 drops elsewhere.",negative,0.77328825,,
Man Gearbox really needs to fix this disssapointing drops in the new Borderlands 3 DLC cant be fine to farm bosses on Mayhem 10 to get 1 legendary drop while elsewhere i get 6-10 drops... Really sucks alot,negative,0.8748406172,,
Man Bethesda really needs to fix this dissapointing drops and the new Borderlands 3 It cant be fine to farm bosses on Mayhem 10 to get 1 legendary drop while anywhere else i get 6-10 drops.. Really sucks...,negative,0.8881086707,,
Man Gearbox really needs to fix this dissapointing drops in the completely new Borderlands 3 Days DLC i cant e be fine having to be farm bosses on Mayhem 10 to e get 1 legendary foot drop while anywhere else i get 6 - 10 drops.. It Really sucks to alot,negative,0.8958694339,,
<unk> Gearbox really time to fix this 10 drops in the new Borderlands 3 DLC or be fine to force bosses on Mayhem 10 to get a legendary drop while everyone else i get 6-10 drops.. Really needs alot,negative,0.6380628943,,
Check out this epic streamer!.,positive,0.9566506147,,
Check out this epic streamer!.,positive,0.9566506147,,
Watch this epic striptease!.,positive,0.827278316,,
Check out our epic streamer!.,positive,0.923127532,,
Check out this big epic streamer!.,positive,0.9609332085,,
Check<unk> this epic streamer!.,positive,0.9231687784,,
Blaming Sight for Tardiness! A little bit of borderlands. I got called in early for work tomorrow so I can't make up time. Sorry my loves .  twitch.tv/punnisenpai,negative,0.701102972,,
"A bit of borderland. I was called to work tomorrow morning, so I can't catch up. Sorry, my love. twitch.tv / punnisenpai",negative,0.4946594536,,
"Guilty of sobriety! A bit of a borderline. I was called to work early tomorrow, so I can't catch up.",negative,0.6653113961,,
Blaming Sight for Tardiness! A little bit of borderlands. I got called in early for work tomorrow so I can't make up time. Sorry my loves .  twitch.tv/punnisenpai,negative,0.744600296,,
for Blaming Sight for Tardiness! A little bit of borderlands. I got called in early for work tomorrow so I can't make up time. Sorry my loves .  twitch.tv/punnisenpai,negative,0.7407200933,,
all,neutral,0.502522707,,
why does like every man in borderlands have slicked back hair haven’t you heard of bangs you stupid assholes,negative,0.8861386776,,
"Why, like every man in border countries, have you not heard of bangs, you stupid assholes?",negative,0.9287018776,,
"Why, like everyone else in the border countries, have your hair fallen off, have you not heard that you are stupid aliens?",negative,0.8941969872,,
why does like<unk> man in borderlands have slicked back hair or you heard of bangs you stupid assholes,negative,0.9058520198,,
why Beth does like every man in borderlands have she slicked that back hair haven ’ t you heard enough of gray bangs you stupid assholes,negative,0.9198222756,,
why does practically every man in France have slicked back hair haven’t you heard of bangs the greedy assholes,negative,0.8781695962,,
